text,label
"Subject: Security Alert: Update Your Password Immediately
Dear customer, we noticed suspicious activity on your account. Click here http://win-prize-today.tk/claim to verify your identity within 24 hours or your account will be permanently suspended.",1
"Subject: Meeting Reminder for Tomorrow
Dear customer, thank you for your purchase. Your invoice is attached for your records. Let us know if you have any questions.",0
"Subject: Reminder: Submit Your Timesheet
Hello, thank you for subscribing to our newsletter. Here is a summary of this month's top articles and product updates.",0
"Subject: Your PayPal Account Will Be Closed
Act now! Your subscription will auto-renew at a higher price unless you cancel immediately at http://amaz0n-security.com/confirm by confirming your login credentials.",1
"Subject: Your PayPal Account Will Be Closed
Your payment for invoice #4471 has failed. Update your billing information urgently at http://apple-id-locked.support/verify to avoid service interruption.",1
"Subject: Your Account Has Been Suspended
Your payment for invoice #4471 has failed. Update your billing information urgently at http://apple-id-locked.support/verify to avoid service interruption.",1
"Subject: Your Account Has Been Suspended
Your parcel delivery failed due to incomplete address. Click http://bank-account-update.ru/verify and pay a small redelivery fee using your card to reschedule.",1
"Subject: Weekly Team Sync Notes
Hello, thank you for subscribing to our newsletter. Here is a summary of this month's top articles and product updates. More info: https://github.com/yourorg/project",0
"Subject: Final Notice: Payment Failed
Your payment for invoice #4471 has failed. Update your billing information urgently at http://192.168.45.12/verify-account to avoid service interruption.",1
"Subject: Conference Schedule Attached
Hi all, attached is the Q3 project report. Please review the metrics section and share your feedback by Friday.",0
"Subject: Your Package Could Not Be Delivered
We detected an unauthorized login attempt from a new device. Verify it was you by clicking http://secure-paypa1-verify.com/login within 12 hours, otherwise your account will be locked.",1
"Subject: Final Notice: Payment Failed
We detected an unauthorized login attempt from a new device. Verify it was you by clicking http://refund-irs-gov.online/claim within 12 hours, otherwise your account will be locked.",1
"Subject: Action Required: Unusual Login Detected
Dear customer, we noticed suspicious activity on your account. Click here http://account-update-now.xyz/login to verify your identity within 24 hours or your account will be permanently suspended.",1
"Subject: Project Update - Q3 Report
Thank you for sharing your feedback with us. We truly value your input and will use it to improve our product going forward.",0
"Subject: Thank You for Your Feedback
Hi team, here are this week's sync notes including action items and owners. Let me know if I missed anything important. More info: https://www.company.com/dashboard",0
"Subject: Your PayPal Account Will Be Closed
Act now! Your subscription will auto-renew at a higher price unless you cancel immediately at http://bank-account-update.ru/verify by confirming your login credentials.",1
"Subject: Your Package Could Not Be Delivered
Your parcel delivery failed due to incomplete address. Click http://apple-id-locked.support/verify and pay a small redelivery fee using your card to reschedule.",1
"Subject: Tax Refund Pending - Claim Now
We detected an unauthorized login attempt from a new device. Verify it was you by clicking http://refund-irs-gov.online/claim within 12 hours, otherwise your account will be locked.",1
"Subject: Final Notice: Payment Failed
Congratulations! You have been selected to win a free gift card. Claim your prize now by clicking http://secure-paypa1-verify.com/login and entering your bank details.",1
